timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040070634,-3477972,-934761766,13753.27,20.5,2661,68,0,0
1040070637,-3474676,-934756083,13814.48,20.108,2659.2,69,0,0
1040070639,-3471988,-934752820,13853.85,19.65,2657,69,0,0
1040070642,-3466822,-934748903,13914.34,20.117,2653.6,70,0,0
1040070645,-3460249,-934745819,13981.76,22.338,2649.4,69,0,0
1040070646,-3457921,-934744937,14004.86,22.767,2647.8,68,0,0
1040070648,-3453238,-934743233,14051.06,22.758,2645.4,65,0,0
1040070651,-3446461,-934741428,14116.2,21.619,2643.8,64,0,0
1040070654,-3439322,-934741115,14182.48,22.076,2644,67,0,0
1040070657,-3432279,-934740847,14247.85,21.619,2645.6,69,0,0
1040070658,-3430006,-934740366,14269.39,21.619,2646.4,70,0,0
1040070660,-3425702,-934738625,14312.5,21.619,2648.4,70,0,0
1040070663,-3419607,-934735096,14377.89,21.619,2651.2,70,0,0
1040070664,-3417616,-934733959,14399.18,21.078,2652.2,70,0,0
1040070667,-3411670,-934731237,14459.97,20.089,2655.4,67,0,0
1040070668,-3409607,-934730706,14479.72,20.089,2656.2,65,0,0
1040070670,-3405264,-934730345,14520.16,20.462,2658.2,63,0,0
1040070671,-3403077,-934730487,14540.47,20.462,2659.2,63,0,0
1040070673,-3398597,-934731339,14582.76,20.462,2661.4,62,0,0
1040070676,-3392123,-934732714,14644.11,20.369,2664,63,0,0
1040070677,-3390013,-934732863,14663.71,20.08,2664.6,63,0,0
1040070678,-3387987,-934732736,14682.53,19.492,2665.2,63,0,0
1040070679,-3385931,-934732412,14701.82,19.427,2666,63,0,0
1040070681,-3382056,-934730870,14740.66,19.427,2667.8,63,0,0
1040070683,-3378755,-934728081,14780.94,20.08,2669,63,0,0
1040070685,-3376005,-934723896,14827.59,20.08,2670.4,63,0,0
1040070688,-3372518,-934719126,14882.7,19.809,2672.6,63,0,0
1040070689,-3370940,-934717724,14902.32,19.809,2673.6,63,0,0
1040070692,-3365518,-934713944,14963.71,20.369,2676.2,63,0,0
1040070694,-3361950,-934711480,15003.98,20.136,2677.6,63,0,0
1040070696,-3358818,-934708746,15042.66,19.809,2679,62,0,0
1040070697,-3356455,-934704831,15085.33,19.333,2680.4,62,0,0
1040070699,-3355835,-934702815,15104.99,19.333,2681,63,0,0
1040070700,-3355452,-934700700,15125.05,19.622,2682,63,0,0
1040070701,-3355222,-934698505,15145.63,19.772,2683,63,0,0
1040070703,-3355161,-934694066,15187.07,19.772,2685,63,0,0
